Details,Détails
"Deliver my order in store","Livraison en magasin"
"Choose Store","Choisir un magasin"
"Change Store","Changer de magasin"
"Ship Here","Livrer ici"
"Your order will be delivered to the chosen store.","Votre commande sera livrée au magasin que vous avez sélectionné."
"You will receive an email when the order will be available for pickup.","Vous recevrez un email lorsque votre commande sera disponible."
"Deliver in Store","Retirer en magasin"
"Save Address","Sauvegarder l'adresse"
Cancel,Annuler
"Store Delivery","Livraison en magasin"
Enabled,Activé
"Method Name","Nom de la méthode"
Price,Prix
"Calculate Handling Fee","Calculer les frais de transport"
"Handling Fee","Frais de transport"
"Sort Order","Ordre de tri"
Title,Titre
"Ship to Applicable Countries","Livraison dans les pays disponibles"
"Ship to Specific Countries","Livraison dans des pays spécifiques"
"Show Method if Not Applicable","Afficher la méthode de livraison même si elle n'est pas disponible"
"Displayed Error Message","Message d'erreur affiché"
"Store Delivery Addresses","Magasins disponibles"
"Select Store Address","Choisir un magasin"
"Find a store :","Trouver un magasin :"
"City, Zipcode, Department, ...","Ville, code postal, département..."
Search,Rechercher
"%s result(s)","%s résultat(s)"
"%s shop(s) nearby","%s magasin(s) à proximité"
"View all","Voir tous"
"Home Delivery","Livraison à domicile"
"Your order will be delivered to your address.","Votre commande sera livrée à votre domicile."
"You will receive an email when the order will be shipped.","Vous recevrez un email lorsque votre commande sera expédiée."
"Shipping","Livraison"
"Allow Store Delivery","Autoriser la livraison en magasin"
"Allow Delivery","Accepte les livraisons"
